barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
12.93521739,0.0,0.0,0.0,21,20.6741,0,0.0,0.0,0.0,0.0,385,-1,0.0,385.0,23,23.0793,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,514,,5,2050,0,Regular,Regular Gasoline,5,-1,27,26.9051,0,0.0,0.0,0.0,0.0,0,0,38284,0,0,Jeep,Cherokee 4WD Active Drive II,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 9-spd,26.2,0.0,38.0997,0.0,Small Sport Utility Vehicle 4WD,2017,-1750,Cherokee,,,,,,,,,CRX,,0.0,,Wed Oct 05 00:00:00 EDT 2016,Fri Dec 02 00:00:00 EST 2016,N,0,0,0
11.44269231,0.0,0.0,0.0,24,24.0026,0,0.0,0.0,0.0,0.0,340,-1,0.0,340.0,26,26.0279,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,212,,6,1800,0,Regular,Regular Gasoline,6,-1,29,29.0207,0,0.0,0.0,0.0,0.0,0,0,38288,0,0,Mitsubishi,Outlander 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.8774,0.0,41.4013,0.0,Small Sport Utility Vehicle 4WD,2017,-500,Outlander,,,,,,,,,MTX,,0.0,,Wed Oct 05 00:00:00 EDT 2016,Wed Jul 19 00:00:00 EDT 2017,N,0,0,0
11.44269231,0.0,0.0,0.0,23,23.3609,0,0.0,0.0,0.0,0.0,343,-1,0.0,343.0,26,25.538,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,224,,6,1800,0,Regular,Regular Gasoline,6,-1,29,28.8207,0,0.0,0.0,0.0,0.0,0,0,38290,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.9647,0.0,41.0871,0.0,Small Sport Utility Vehicle 4WD,2017,-500,Outlander,,,,,,,,,MTX,,0.0,,Wed Oct 05 00:00:00 EDT 2016,Wed Jul 19 00:00:00 EDT 2017,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3667,0,0.0,0.0,0.0,0.0,390,-1,0.0,390.0,23,22.6867,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,21,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,26,26.3562,0,0.0,0.0,0.0,0.0,0,0,38489,0,0,Mazda,CX-9 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),25.775,0.0,37.251,0.0,Small Sport Utility Vehicle 4WD,2017,-1750,CX-9,,,T,,,,,,TKX,,0.0,,Fri Dec 02 00:00:00 EST 2016,Tue Feb 21 00:00:00 EST 2017,N,0,0,0
12.39625,0.0,0.0,0.0,22,22.0,0,0.0,0.0,0.0,0.0,368,-1,0.0,368.0,24,24.0,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,226,,5,2000,0,Regular,Regular Gasoline,5,-1,27,27.0,0,0.0,0.0,0.0,0.0,0,0,38548,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),28.7862,0.0,39.0739,0.0,Small Sport Utility Vehicle 4WD,2017,-1500,Outlander,,,,,,,,,MTX,,0.0,,Thu Feb 02 00:00:00 EST 2017,Wed Jul 19 00:00:00 EDT 2017,N,0,0,0
11.44269231,0.0,0.0,0.0,23,23.0,0,0.0,0.0,0.0,0.0,352,-1,0.0,352.0,26,25.7067,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,23,SIDI,6,1800,0,Regular,Regular Gasoline,6,-1,29,28.7451,0,0.0,0.0,0.0,0.0,0,0,38568,0,0,Mazda,CX-5 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),30.3901,0.0,40.9684,0.0,Small Sport Utility Vehicle 4WD,2017,-500,CX-5,,,,,,,,,TKX,,0.0,,Thu Mar 02 00:00:00 EST 2017,Mon Jun 05 00:00:00 EDT 2017,N,0,0,0
12.93521739,0.0,0.0,0.0,21,20.6741,0,0.0,0.0,0.0,0.0,385,-1,0.0,385.0,23,23.0793,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,519,,5,2050,0,Regular,Regular Gasoline,5,-1,27,26.9051,0,0.0,0.0,0.0,0.0,0,0,39095,0,0,Jeep,Cherokee 4WD Active Drive II,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 9-spd,26.2,0.0,38.0997,0.0,Small Sport Utility Vehicle 4WD,2018,-1750,Cherokee,,,,,,,,,CRX,,0.0,,Wed Jul 26 00:00:00 EDT 2017,Fri Nov 03 00:00:00 EDT 2017,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3187,0,0.0,0.0,0.0,0.0,391,-1,0.0,391.0,23,22.5918,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,12,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,26,26.1702,0,0.0,0.0,0.0,0.0,0,0,39185,0,0,Mazda,CX-9 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),25.7087,0.0,36.9641,0.0,Small Sport Utility Vehicle 4WD,2018,-1750,CX-9,,,T,,,,,,TKX,,0.0,,Thu Aug 03 00:00:00 EDT 2017,Wed Dec 20 00:00:00 EST 2017,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8555,0,0.0,0.0,0.0,0.0,341,-1,0.0,341.0,26,25.9027,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,212,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.938,0,0.0,0.0,0.0,0.0,0,0,39687,0,0,Mitsubishi,Outlander 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.6677,0.0,41.2713,0.0,Small Sport Utility Vehicle 4WD,2018,-500,Outlander,,,,,,,,,MTX,,0.0,,Fri Nov 03 00:00:00 EDT 2017,Wed Jan 24 00:00:00 EST 2018,N,0,0,0
11.44269231,0.0,0.0,0.0,23,23.3609,0,0.0,0.0,0.0,0.0,343,-1,0.0,343.0,26,25.538,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,224,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.8207,0,0.0,0.0,0.0,0.0,0,0,39689,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.9647,0.0,41.0871,0.0,Small Sport Utility Vehicle 4WD,2018,-500,Outlander,,,,,,,,,MTX,,0.0,,Fri Nov 03 00:00:00 EDT 2017,Wed Dec 20 00:00:00 EST 2017,N,0,0,0
11.9004,0.0,0.0,0.0,23,22.8577,0,0.0,0.0,0.0,0.0,353,-1,0.0,353.0,25,25.0366,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,226,,5,1900,0,Regular,Regular Gasoline,5,-1,28,28.3381,0,0.0,0.0,0.0,0.0,0,0,39690,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.2527,0.0,40.3306,0.0,Small Sport Utility Vehicle 4WD,2018,-1000,Outlander,,,,,,,,,MTX,,0.0,,Fri Nov 03 00:00:00 EDT 2017,Wed Dec 20 00:00:00 EST 2017,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8393,0,0.0,0.0,0.0,0.0,335,-1,0.0,335.0,26,26.2061,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,16,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,30,29.8253,0,0.0,0.0,0.0,0.0,0,0,39781,0,0,Mazda,CX-5 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),30.6446,0.0,42.6699,0.0,Small Sport Utility Vehicle 4WD,2018,-500,CX-5,,,,,,,,,TKX,,0.0,,Tue Dec 05 00:00:00 EST 2017,Wed Apr 18 00:00:00 EDT 2018,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3845,0,0.0,0.0,0.0,0.0,387,-1,0.0,387.0,23,23.0251,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,514,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,27,27.3563,0,0.0,0.0,0.0,0.0,0,0,39897,0,0,Jeep,Cherokee 4WD Active Drive II,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 9-spd,25.7996,0.0,38.7997,0.0,Small Sport Utility Vehicle 4WD,2019,-1750,Cherokee,,,T,,,,,,CRX,,0.0,,Mon Feb 19 00:00:00 EST 2018,Tue Feb 26 00:00:00 EST 2019,Y,0,0,0
11.9004,0.0,0.0,0.0,25,24.5536,0,0.0,0.0,0.0,0.0,347,-1,0.0,347.0,25,25.3444,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,231,SIDI,5,1900,0,Regular,Regular Gasoline,5,-1,26,26.383,0,0.0,0.0,0.0,0.0,0,0,39923,0,0,Mitsubishi,Eclipse Cross 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),31.6654,0.0,39.8092,0.0,Small Sport Utility Vehicle 4WD,2018,-1000,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Fri Mar 02 00:00:00 EST 2018,Mon Dec 03 00:00:00 EST 2018,N,0,0,0
11.44269231,0.0,0.0,0.0,25,25.0375,0,0.0,0.0,0.0,0.0,337,-1,0.0,337.0,26,26.1535,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,233,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,28,27.6604,0,0.0,0.0,0.0,0.0,0,0,39924,0,0,Mitsubishi,Eclipse Cross ES 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),32.3606,0.0,40.9189,0.0,Small Sport Utility Vehicle 4WD,2018,-500,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Fri Mar 02 00:00:00 EST 2018,Mon Dec 03 00:00:00 EST 2018,N,0,0,0
11.9004,0.0,0.0,0.0,25,24.5536,0,0.0,0.0,0.0,0.0,347,-1,0.0,347.0,25,25.3444,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,231,SIDI,5,1900,0,Regular,Regular Gasoline,5,-1,26,26.383,0,0.0,0.0,0.0,0.0,0,0,40359,0,0,Mitsubishi,Eclipse Cross 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),31.6654,0.0,39.8092,0.0,Small Sport Utility Vehicle 4WD,2019,-1000,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Tue Jul 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,25,25.0375,0,0.0,0.0,0.0,0.0,337,-1,0.0,337.0,26,26.1535,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,233,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,28,27.6604,0,0.0,0.0,0.0,0.0,0,0,40360,0,0,Mitsubishi,Eclipse Cross ES 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),32.3606,0.0,40.9189,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Tue Jul 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8555,0,0.0,0.0,0.0,0.0,341,-1,0.0,341.0,26,25.9027,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,212,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.938,0,0.0,0.0,0.0,0.0,0,0,40516,0,0,Mitsubishi,Outlander 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.6677,0.0,41.2713,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Outlander,,,,,,,,,MTX,,0.0,,Fri Aug 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3222,0,0.0,0.0,0.0,0.0,391,-1,0.0,391.0,23,22.5986,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,902,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,26,26.1835,0,0.0,0.0,0.0,0.0,0,0,40752,0,0,Mazda,CX-9 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),25.7135,0.0,36.9846,0.0,Small Sport Utility Vehicle 4WD,2019,-1750,CX-9,,,T,,,,,,TKX,,0.0,,Tue Sep 11 00:00:00 EDT 2018,Wed Jan 23 00:00:00 EST 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,23,23.4239,0,0.0,0.0,0.0,0.0,344,-1,0.0,344.0,26,25.5957,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,224,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.867,0,0.0,0.0,0.0,0.0,0,0,40753,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.0541,0.0,41.1598,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Outlander,,,,,,,,,MTX,,0.0,,Tue Sep 11 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
11.9004,0.0,0.0,0.0,23,23.0094,0,0.0,0.0,0.0,0.0,353,-1,0.0,353.0,25,25.22,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,226,,5,1900,0,Regular,Regular Gasoline,5,-1,28,28.0,0,0.0,0.0,0.0,0.0,0,0,40754,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.467,0.0,40.7023,0.0,Small Sport Utility Vehicle 4WD,2019,-1000,Outlander,,,,,,,,,MTX,,0.0,,Tue Sep 11 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
12.39625,0.0,0.0,0.0,23,22.5077,0,0.0,0.0,0.0,0.0,375,-1,0.0,375.0,24,23.5815,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,547,SIDI; Mild Hybrid,5,2000,0,Regular,Regular Gasoline,5,-1,25,25.0417,0,0.0,0.0,0.0,0.0,0,0,40965,0,0,Jeep,Wrangler 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 8-spd,29.2,0.0,37.7,0.0,Small Sport Utility Vehicle 4WD,2019,-1500,Wrangler,,,T,,Hybrid,,,48V Li-Ion,CRX,,0.0,,Fri Nov 02 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,Y,0,0,0
11.44269231,0.0,0.0,0.0,24,23.9259,0,0.0,0.0,0.0,0.0,335,-1,0.0,335.0,26,26.2453,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,505,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,30,29.7731,0,0.0,0.0,0.0,0.0,0,0,41044,0,0,Mazda,CX-5 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),30.768,0.0,42.5873,0.0,Small Sport Utility Vehicle 4WD,2019,-500,CX-5,,,,,,,,,TKX,,0.0,,Fri Nov 09 00:00:00 EST 2018,Wed Jan 23 00:00:00 EST 2019,N,0,0,0
12.39625,0.0,0.0,0.0,22,21.7524,0,0.0,0.0,0.0,0.0,370,-1,0.0,370.0,24,23.8943,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,509,SIDI,5,2000,0,Regular,Regular Gasoline,5,-1,27,27.1633,0,0.0,0.0,0.0,0.0,0,0,41045,0,0,Mazda,CX-5 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),27.7,0.0,38.5,0.0,Small Sport Utility Vehicle 4WD,2019,-1500,CX-5,,,T,,,,,,TKX,,0.0,,Fri Nov 09 00:00:00 EST 2018,Wed Jan 23 00:00:00 EST 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8555,0,0.0,0.0,0.0,0.0,341,-1,0.0,341.0,26,25.9027,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,212,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.938,0,0.0,0.0,0.0,0.0,0,0,41484,0,0,Mitsubishi,Outlander 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.6677,0.0,41.2713,0.0,Small Sport Utility Vehicle 4WD,2020,-500,Outlander,,,,,,,,,MTX,,0.0,,Tue Jun 04 00:00:00 EDT 2019,Wed Nov 27 00:00:00 EST 2019,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.2399,0,0.0,0.0,0.0,0.0,386,-1,0.0,386.0,23,23.2015,0,0.0,0.0,0.0,0.0,4.0,2.3,Part-time 4-Wheel Drive,3,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,27,27.0,0,0.0,0.0,0.0,0.0,0,0,41487,0,0,Ford,Explorer AWD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S10),25.6,0.0,40.2,0.0,Standard Sport Utility Vehicle 4WD,2020,-1750,Explorer,,,T,,,,,,FMX,,0.0,,Tue Jun 04 00:00:00 EDT 2019,Wed Jan 12 00:00:00 EST 2022,Y,0,0,0
11.44269231,0.0,0.0,0.0,25,25.0375,0,0.0,0.0,0.0,0.0,337,-1,0.0,337.0,26,26.1535,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,233,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,28,27.6604,0,0.0,0.0,0.0,0.0,0,0,41567,0,0,Mitsubishi,Eclipse Cross ES 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),32.3606,0.0,40.9189,0.0,Small Sport Utility Vehicle 4WD,2020,-500,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Mon Jul 08 00:00:00 EDT 2019,Wed Nov 27 00:00:00 EST 2019,N,0,0,0
12.93521739,0.0,0.0,0.0,22,21.9296,0,0.0,0.0,0.0,0.0,388,-1,0.0,388.0,23,22.8165,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,528,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,24,24.0029,0,0.0,0.0,0.0,0.0,0,0,41763,0,0,Jeep,Wrangler 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 8-spd,27.9478,0.0,37.4997,0.0,Small Sport Utility Vehicle 4WD,2020,-1750,Wrangler,,,T,,,,,,CRX,,0.0,,Mon Aug 12 00:00:00 EDT 2019,Wed Dec 18 00:00:00 EST 2019,Y,0,0,0
